ticket_number,date,time,article,Quantity,unit_price_euro
150045,2021-01-02,9:32,TRADITIONAL BAGUETTE,3,1.20
150046,2021-01-02,9:37,TRADITIONAL BAGUETTE,6,1.20
150049,2021-01-02,9:40,CROISSANT,2,1.10
150049,2021-01-02,9:40,TRADITIONAL BAGUETTE,1,1.20
150051,2021-01-02,9:46,PAIN,1,1.15
150052,2021-01-02,9:48,SPECIAL BREAD,1,2.40
150054,2021-01-02,9:49,KOUIGN AMANN,1,2.10
150055,2021-01-02,9:57,TRADITIONAL BAGUETTE,4,1.20
150056,2021-01-02,9:58,BANETTE,3,1.05
150058,2021-01-02,10:03,CROISSANT,2,1.10
150058,2021-01-02,10:03,PAIN AU CHOCOLAT,2,1.20
150059,2021-01-02,10:04,TRADITIONAL BAGUETTE,4,1.20
150060,2021-01-02,10:05,TRADITIONAL BAGUETTE,4,1.20
150061,2021-01-02,10:12,SPECIAL BREAD,1,2.40
150062,2021-01-02,10:17,SPECIAL BREAD,1,2.40
150063,2021-01-02,10:18,TRADITIONAL BAGUETTE,2,1.20
150063,2021-01-02,10:18,GAL FRANGIPANE 6P,1,12.00
150063,2021-01-02,10:18,MOISSON,1,2.00
150063,2021-01-02,10:18,COUPE,1,0.15
150065,2021-01-02,10:22,SAND JB EMMENTAL,1,3.50
150066,2021-01-02,10:24,BAGUETTE,1,0.90
150066,2021-01-02,10:24,PAIN AU CHOCOLAT,2,1.20
150066,2021-01-02,10:24,TRADITIONAL BAGUETTE,1,1.20
150066,2021-01-02,10:24,CROISSANT,2,1.10
150069,2021-01-02,10:29,KOUIGN AMANN,2,2.10
150070,2021-01-02,10:33,BANETTE,1,1.05
150070,2021-01-02,10:33,PAIN AU CHOCOLAT,2,1.20
150071,2021-01-02,10:34,CROISSANT,2,1.10
150071,2021-01-02,10:34,TRADITIONAL BAGUETTE,2,1.20
150074,2021-01-02,10:42,BANETTINE,1,0.60
150075,2021-01-02,10:44,COUPE,1,0.15
150075,2021-01-02,10:44,SEIGLE,1,1.80
150076,2021-01-02,10:46,TRADITIONAL BAGUETTE,2,1.20
150077,2021-01-02,10:49,PAIN AU CHOCOLAT,2,1.20
150078,2021-01-02,10:50,TRADITIONAL BAGUETTE,1,1.20
150079,2021-01-02,10:51,GAL FRANGIPANE 4P,1,8.00
150079,2021-01-02,10:51,SPECIAL BREAD,1,2.40
150081,2021-01-02,10:54,TRADITIONAL BAGUETTE,1,1.20
150082,2021-01-02,10:54,TRADITIONAL BAGUETTE,4,1.20
150083,2021-01-02,10:54,TRADITIONAL BAGUETTE,1,1.20
150084,2021-01-02,10:55,PAIN AU CHOCOLAT,4,1.20
150084,2021-01-02,10:55,COOKIE,1,1.00
150084,2021-01-02,10:55,CEREAL BAGUETTE,1,1.25
150085,2021-01-02,10:56,TRADITIONAL BAGUETTE,4,1.20
150086,2021-01-02,10:57,CROISSANT,2,1.10
150086,2021-01-02,10:57,PAIN AU CHOCOLAT,1,1.20
150086,2021-01-02,10:57,CEREAL BAGUETTE,1,1.25
150088,2021-01-02,11:04,TRADITIONAL BAGUETTE,2,1.20
150089,2021-01-02,11:06,BAGUETTE,1,0.90
150090,2021-01-02,11:08,TRADITIONAL BAGUETTE,2,1.20
150090,2021-01-02,11:08,CROISSANT,1,1.10
150091,2021-01-02,11:13,TRADITIONAL BAGUETTE,5,1.20
150091,2021-01-02,11:13,BRIOCHE,1,5.00
150091,2021-01-02,11:13,SEIGLE,1,1.80
150092,2021-01-02,11:14,CROISSANT,6,1.10
150093,2021-01-02,11:14,FICELLE,1,0.60
150093,2021-01-02,11:14,TRADITIONAL BAGUETTE,1,1.20
150094,2021-01-02,11:15,BANETTE,5,1.05
150095,2021-01-02,11:16,CROISSANT,2,1.10
150095,2021-01-02,11:16,PAIN AUX RAISINS,1,1.40
150095,2021-01-02,11:16,PAIN AU CHOCOLAT,4,1.20
150098,2021-01-02,11:19,FICELLE,1,0.60
150098,2021-01-02,11:19,PAIN AU CHOCOLAT,1,1.20
150098,2021-01-02,11:19,CROISSANT,1,1.10
150099,2021-01-02,11:19,BANETTE,1,1.05
150100,2021-01-02,11:20,COUPE,1,0.15
150103,2021-01-02,11:23,GAL POMME 4P,1,8.00
150105,2021-01-02,11:25,GAL FRANGIPANE 6P,1,12.00
150105,2021-01-02,11:25,TRADITIONAL BAGUETTE,2,1.20
150105,2021-01-02,11:25,BANETTE,1,1.05
150107,2021-01-02,11:29,BAGUETTE,2,0.90
150109,2021-01-02,11:30,VIK BREAD,2,2.50
150109,2021-01-02,11:30,SEIGLE,1,1.80
150111,2021-01-02,11:34,TRADITIONAL BAGUETTE,1,1.20
150112,2021-01-02,11:34,GAL POMME 6P,1,12.00
150112,2021-01-02,11:34,BAGUETTE,2,0.90
150112,2021-01-02,11:34,BANETTE,1,1.05
